index,word,freq,# texts,freq/texts,entire corpus,expected
416,FOX,19,2,4.2,"5,193",4.5
417,RIDE,18,17,1.1,"18,968",16.4
418,HECK,18,17,3.6,"5,783",5
419,CROWD,18,15,2.4,"8,793",7.6
420,BEING,18,15,2.1,"9,720",8.4
421,TASTE,18,14,1.9,"10,806",9.3
422,TYPE,18,14,1.1,"18,945",16.3
423,GUEST,18,14,1.6,"12,944",11.2
424,JUNK,18,14,4.4,"4,760",4.1
425,START,18,14,1.3,"15,846",13.7
426,PROCESS,18,14,1.6,"12,782",11
427,KEY,18,14,1,"21,785",18.8
428,RULE,18,14,2,"10,578",9.1
429,DRINK,18,13,0.7,"30,682",26.5
430,ART,18,13,1,"21,224",18.3
431,DRUG,18,13,1,"20,336",17.5
432,SOURCE,18,13,1.7,"12,076",10.4
433,LEADER,18,12,1.5,"13,779",11.9
434,EMPLOYEE,18,12,4.6,"4,570",3.9
435,CIGAR,18,12,11.2,"1,856",1.6
436,DANCING,18,11,3.6,"5,860",5.1
437,ALCOHOL,18,10,2.9,"7,224",6.2
438,ANTENNA,18,9,27.2,767,0.7
439,TAX,18,8,3.7,"5,660",4.9
440,COLLEGE,18,7,0.8,"25,086",21.6
441,EGO,18,5,7,"2,969",2.6
442,BENDER,18,5,9.7,"2,159",1.9
443,GENDER,18,4,13.3,"1,574",1.4
444,BUTTERFLY,18,1,10.3,"2,027",1.7
445,SAKE,17,16,1.2,"16,763",14.5
446,PLEASURE,17,16,0.9,"20,773",17.9
447,BAR,17,16,0.6,"31,217",26.9
448,TANK,17,16,2.7,"7,308",6.3
449,CHANGE,17,16,0.9,"22,934",19.8
450,EFFECT,17,15,2.2,"9,132",7.9
451,WALL,17,15,0.8,"24,366",21
452,GALAXY,17,15,4,"4,976",4.3
453,SACK,17,15,6,"3,288",2.8
454,SALAD,17,14,3.1,"6,419",5.5
455,PAST,17,14,1,"19,266",16.6
456,ESCAPE,17,14,2.8,"6,994",6
457,STORE,17,13,0.8,"23,603",20.4
458,TRACK,17,13,1.5,"13,488",11.6
459,CHUMP,17,13,35.3,558,0.5
460,AREA,17,12,0.7,"29,670",25.6
461,BOTTLE,17,12,1.2,"15,915",13.7
462,COUCH,17,12,2.3,"8,649",7.5
463,SPEED,17,12,1.5,"13,362",11.5
464,RECORD,17,12,0.7,"26,708",23
465,OPERATION,17,11,1.3,"14,781",12.7
466,RAY,17,11,0.9,"22,138",19.1
467,WASTE,17,10,2.5,"7,841",6.8
468,COURT,17,9,0.6,"33,876",29.2
469,BOWEL,17,9,19.8,995,0.9
470,SURGERY,17,9,1.1,"18,433",15.9
471,BANK,17,8,0.9,"23,137",20
472,SHRIMP,17,8,5.9,"3,351",2.9
473,HOLIDAY,17,8,2.5,"7,788",6.7
474,JELLY,17,6,8.3,"2,366",2
475,SODA,17,6,4.1,"4,834",4.2
476,VIRUS,17,6,2.6,"7,585",6.5
477,CRATE,17,5,13.8,"1,425",1.2
478,COMPUTER,16,15,0.7,"26,257",22.6
479,MA'AM,16,15,0.5,"34,082",29.4
480,LIST,16,15,0.5,"34,132",29.4
481,FOOL,16,14,1.7,"11,176",9.6
482,KING,16,14,0.4,"42,293",36.5
483,TURN,16,14,1.1,"17,080",14.7
484,POUND,16,14,5.3,"3,482",3
485,GUARD,16,13,1.4,"13,617",11.7
486,EXPERIENCE,16,13,1,"19,032",16.4
487,HUMANITY,16,13,4,"4,590",4
488,TONGUE,16,13,2.4,"7,754",6.7
489,LANGUAGE,16,13,1.7,"10,669",9.2
490,STONE,16,12,1.2,"15,495",13.4
491,INFORMATION,16,12,0.5,"36,927",31.8
492,DUTY,16,12,1.2,"15,309",13.2
493,SET,16,12,1.3,"13,825",11.9
494,PIE,16,12,1.8,"10,214",8.8
495,STUDENT,16,11,1.5,"12,181",10.5
496,TEST,16,11,0.7,"26,881",23.2
497,CASH,16,10,0.8,"22,568",19.5
498,MIRACLE,16,10,2.4,"7,625",6.6
499,SANDWICH,16,10,2.3,"8,004",6.9
500,PARASITE,16,10,17.9,"1,034",0.9
